,ClauseID,Doc,SentID,SentForm,PredType,PredForm,PredLemma,PredMorph,VMorphForm,PredTense,PredAspect,Voice,PredSylCo,PredFreq,Aux3,Aux2,Aux1,PassAux,OvertSubj,CovertSubj,SubjRef,SubjHead,SubjFreq,SubjDef,SubjNum,SubjPers,SubjAnim,SubjSynType,SubjSylCo,SubjMorph,SubjPosID,OvertObj,OvertIObj,CovertObj,ObjFreq,ObjHead,ObjDef,ObjNum,ObjPers,ObjAnim,ObjSylCo,ObjMorph,ObjSynType,ObjPosID,OvertObl,OblCase,OblHead,OblFreq,OblDef,OblNum,OblPers,OblAnim,OblSylCo,OblMorph,OblSynType,OblPosID,Obl2,Obl3,AgentDesc,AgentDef,AgentNum,AgentPers,AgentAnim,AgPres,,,,,,,,,,,
373,374,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,22,"But Sharon's iron fist is simply not working as a means of establishing general peace, and the Bush administration will have to finally apply effective pressure on Sharon to stop his outrages in and colonization of the West Bank and Gaza.",V,stop,stop,VB,Inf,Tenseless,Simple,Act,1,0.000309,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,his outrages in and colonization of the West Bank and Gaza,0,/,2.88e-07;;2.69e-06,outrages;;colonization,indef;;indef,Plur,3,nonconc;;nonconc,18,NNS;;NN,full;;full,34;;37,/,/,/,/,/,/,/,/,/,/,/,/,/,/,the Bush administration ,def,Sing,3,org,,,,,,,,,,,,
374,375,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,23,"Sharon's hard line has worked in tandem with Hamas's terrorism to ratchet up tensions further and further, which spill over into the Muslim world and serve as a recruiting tool for al-Qaeda in its search for agents willing to hit the United States.",V,worked,work,VBN,Part,Pres,Perf,Act,1,0.000145,/,/,has,/,Sharon 's hard line,/,/,line,0.000302,indef,Sing,3,org,full,5,NN,4,/,0,/,/,/,/,/,/,/,/,/,/,/,in tandem with Hamas 's terrorism,in,tandem,2.82E-06,indef,Sing,3,vehicle,11,NN,full,8,/,/,,,,,,,,,,,,,,,,,
375,376,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,23,"Sharon's hard line has worked in tandem with Hamas's terrorism to ratchet up tensions further and further, which spill over into the Muslim world and serve as a recruiting tool for al-Qaeda in its search for agents willing to hit the United States.",V,ratchet up,ratchet up,VB,Inf,Tenseless,Simple,Act,2,1.38E-06,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,tensions which spill over into the Muslim world and serve as a recruiting tool for al - Qaeda in its search for agents willing to hit the United States,0,/,6.92E-06,tensions,indef,Plur,3,conc,41,NNS,full,16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Sharon 's hard line ,def,Sing,3,nonconc,,,,,,,,,,,,
376,377,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,23,"Sharon's hard line has worked in tandem with Hamas's terrorism to ratchet up tensions further and further, which spill over into the Muslim world and serve as a recruiting tool for al-Qaeda in its search for agents willing to hit the United States.",V,spill,spill,VBP,Fin,Pres,Simple,Act,1,7.41E-06,/,/,/,/,which,tensions which spill over into the Muslim world and serve as a recruiting tool for al - Qaeda in its search for agents willing to hit the United States,/,which,0.00219,def,Plur,3,conc,wh,1,WDT,/,/,0,/,/,/,/,/,/,/,/,/,/,/,into the Muslim world,into,world,0.000832,def,Sing,3,human,6,NN,full,27,/,/,,,,,,,,,,,,,,,,,
377,378,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,23,"Sharon's hard line has worked in tandem with Hamas's terrorism to ratchet up tensions further and further, which spill over into the Muslim world and serve as a recruiting tool for al-Qaeda in its search for agents willing to hit the United States.",V,serve,serve,VBP,Fin,Pres,Simple,Act,1,6.92E-05,/,/,/,/,which,tensions which spill over into the Muslim world and serve as a recruiting tool for al - Qaeda in its search for agents willing to hit the United States,/,which,0.00219,def,Plur,3,conc,wh,1,WDT,/,/,0,/,/,/,/,/,/,/,/,/,/,/,as a recruiting tool for al - Qaeda in its search for agents willing to hit the United States,as,tool,3.63E-05,indef,Sing,3,human,26,NN,full,33,/,/,,,,,,,,,,,,,,,,,
378,379,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,23,"Sharon's hard line has worked in tandem with Hamas's terrorism to ratchet up tensions further and further, which spill over into the Muslim world and serve as a recruiting tool for al-Qaeda in its search for agents willing to hit the United States.",V,hit,hit,VB,Inf,Tenseless,Simple,Act,1,0.000219,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,the United States,0,/,0.000324,States,def,Sing,3,/,5,NNP,proper,48,/,/,/,/,/,/,/,/,/,/,/,/,/,/,agents ,indef,Plur,3,human,,,,,,,,,,,,
379,380,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,24,"Israel owes the United States at least this much, in this crisis, to cease militarily unnecessary provocations and establish genuine peace.",V,owes,owe,VBZ,Fin,Pres,Simple,Act,1,5.01E-06,/,/,/,/,Israel,/,/,Israel,7.94E-05,def,Sing,3,/,proper,2.5,NNP,1,the United States,1,/,0.000324,States,def,Sing,3,/,5,NNP,proper,5,in this crisis,in,crisis,5.50E-05,def,Sing,3,nonconc,4,NN,full,13,/,/,,,,,,,,,,,,,,,,,
380,381,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,24,"Israel owes the United States at least this much, in this crisis, to cease militarily unnecessary provocations and establish genuine peace.",V,cease,cease,VB,Inf,Tenseless,Simple,Act,1,1.23E-05,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,militarily unnecessary provocations,0,/,3.89E-07,provocations,indef,Plur,3,nonconc,14,NNS,full,19,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Israel,def,Sing,3,org,,,,,,,,,,,,
381,382,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,24,"Israel owes the United States at least this much, in this crisis, to cease militarily unnecessary provocations and establish genuine peace.",V,establish,establish,VB,Inf,Tenseless,Simple,Act,3,3.39E-05,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,genuine peace,0,/,0.000112,peace,indef,Sing,3,nonconc,4,NN,full,23,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Israel,def,Sing,3,org,,,,,,,,,,,,
382,383,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,25,"3) Make Iraq another Afghanistan, using the Republican Right's own tactics against them.",V,Make,make,VB,Inf,Tenseless,Simple,Act,1,0.00112,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Iraq,0,/,3.47E-05,Iraq,def,Sing,3,/,2,NNP,proper,4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,unknown,indef,/,3,/,,,,,,,,,,,,
383,384,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,25,"3) Make Iraq another Afghanistan, using the Republican Right's own tactics against them.",V,using,use,VBG,Ger,Tenseless,Simple,Act,2,0.000295,/,/,/,/,Iraq,/,/,Iraq,3.47E-05,def,Sing,3,/,proper,2,NNP,4,the Republican Right 's own tactics,0,/,1.35E-05,tactics,indef,Plur,3,nonconc,10,NNS,full,14,against them,against,them,0.00155,def,Plur,3,/,3,PRP,pron,16,/,/,,,,,,,,,,,,,,,,,
384,385,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,26,"Response: Iraq is actually hostile territory for al-Qaeda, and without Iraqi sympathizers it cannot succeed there.",N,territory,territory,NN,/,Tenseless,Simple,Act,4,5.13E-05,/,/,/,/,Iraq,/,/,Iraq,3.47E-05,def,Sing,3,/,proper,2,NNP,3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
385,386,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,26,"Response: Iraq is actually hostile territory for al-Qaeda, and without Iraqi sympathizers it cannot succeed there.",V,succeed,succeed,VB,Inf,Tenseless,Simple,Act,2,1.95E-05,/,/,can,/,it,/,/,it,0.00912,def,Sing,3,nonconc,pron,1,PRP,17,/,0,/,/,/,/,/,/,/,/,/,/,/,without Iraqi sympathizers,without,sympathizers,1.00E-06,indef,Plur,3,human,9,NNS,full,16,/,/,,,,,,,,,,,,,,,,,
386,387,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,27,"By moving quickly to Iraqi sovereignty and improvement of Iraqi lives, the US may be able to get Iraqis on its side, so that they turn in the foreigners.",V,moving,move,VBG,Ger,Tenseless,Simple,Act,2,9.77E-05,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,to Iraqi sovereignty and improvement of Iraqi lives,to;;to,sovereignty;;improvement,9.77e-06;;3.09e-05,indef;;indef,Plur,3,nonconc;;nonconc,16,NN;;NN,full;;full,6;;8,/,/,,,,,,,,,,,,,,,,,
387,388,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,27,"By moving quickly to Iraqi sovereignty and improvement of Iraqi lives, the US may be able to get Iraqis on its side, so that they turn in the foreigners.",A,able,able,JJ,/,Tenseless,Simple,Act,2,0.000263,/,/,may,/,the US,/,/,US,0.00102,def,Sing,3,/,proper,2.5,NNP,14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
388,389,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,27,"By moving quickly to Iraqi sovereignty and improvement of Iraqi lives, the US may be able to get Iraqis on its side, so that they turn in the foreigners.",V,get,get,VB,Inf,Tenseless,Simple,Act,1,0.00182,/,/,/,/,the US,/,/,US,0.00102,def,Sing,3,/,proper,2.5,NNP,14,Iraqis,0,/,1.95E-06,Iraqis,indef,Plur,3,/,3,NNPS,proper,20,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
389,390,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,27,"By moving quickly to Iraqi sovereignty and improvement of Iraqi lives, the US may be able to get Iraqis on its side, so that they turn in the foreigners.",V,turn in,turn in,VBP,Fin,Pres,Simple,Act,1,0.000216,/,/,/,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,27,the foreigners,0,/,8.91E-06,foreigners,def,Plur,3,human,3.5,NNS,full,31,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
390,391,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,28,"Certainly, the Shiites already hate al-Qaeda and would help; likewise the Kurds.",V,hate,hate,VBP,Fin,Pres,Simple,Act,1,0.00012,/,/,/,/,the Shiites,/,/,Shiites,3.02E-07,def,Plur,3,/,proper,3,NNPS,4,al - Qaeda,0,/,5.01E-06,Qaeda,def,Sing,3,/,3,NNP,proper,9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
391,392,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,28,"Certainly, the Shiites already hate al-Qaeda and would help; likewise the Kurds.",V,help,help,VB,Inf,Tenseless,Simple,Act,1,0.000513,/,/,would,/,the Shiites,/,/,Shiites,3.02E-07,def,Plur,3,/,proper,3,NNPS,4,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
392,393,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,29,"The problem of mollifying the Sunnis, though, has to be solved to avoid giving al-Qaeda an entrée.",V,mollifying,mollify,VBG,Ger,Tenseless,Simple,Act,3,1.78E-08,/,/,/,/,The problem,/,/,problem,0.000257,def,Sing,3,nonconc,full,3,NN,2,the Sunnis,0,/,6.76E-07,Sunnis,def,Plur,3,/,3,NNPS,proper,6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
393,394,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,29,"The problem of mollifying the Sunnis, though, has to be solved to avoid giving al-Qaeda an entrée.",V,has,have,VBZ,Fin,Pres,Simple,Act,1,0.00234,/,/,/,/,The problem of mollifying the Sunnis,/,/,problem,0.000257,def,Sing,3,nonconc,full,10,NN,2,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
394,395,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,29,"The problem of mollifying the Sunnis, though, has to be solved to avoid giving al-Qaeda an entrée.",V,solved,solve,VBN,Part,Tenseless,Simple,Pass,1,1.17E-05,/,/,be,be,The problem of mollifying the Sunnis,/,/,problem,0.000257,def,Sing,3,nonconc,full,10,NN,2,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
395,396,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,29,"The problem of mollifying the Sunnis, though, has to be solved to avoid giving al-Qaeda an entrée.",V,avoid,avoid,VB,Inf,Tenseless,Simple,Act,2,7.76E-05,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
396,397,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,29,"The problem of mollifying the Sunnis, though, has to be solved to avoid giving al-Qaeda an entrée.",V,giving,give,VBG,Ger,Tenseless,Simple,Act,2,0.000129,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,al - Qaeda,1,/,5.01E-06,Qaeda,def,Sing,3,/,3,NNP,proper,19,/,/,/,/,/,/,/,/,/,/,/,/,/,/,The US,def,Plur,3,org,,,,,,,,,,,,
397,398,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,30,The Americans have to put away their free-market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households.,V,have,have,VBP,Fin,Pres,Simple,Act,1,0.00501,/,/,/,/,The Americans,/,/,Americans,5.37E-05,def,Plur,3,/,proper,5,NNPS,2,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
398,399,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,30,The Americans have to put away their free-market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households.,V,put,put,VB,Inf,Tenseless,Simple,Act,1,0.000447,/,/,/,/,The Americans,/,/,Americans,5.37E-05,def,Plur,3,/,proper,5,NNPS,2,their free - market fetishism,0,/,3.31E-07,fetishism,indef,Sing,3,conc,7,NN,full,11,for a while,for,while,0.000692,indef,Sing,3,nonconc,3,NN,full,14,/,/,,,,,,,,,,,,,,,,,
399,400,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,30,The Americans have to put away their free-market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households.,V,find,find,VB,Inf,Tenseless,Simple,Act,1,0.00055,/,/,/,/,The Americans,/,/,Americans,5.37E-05,def,Plur,3,/,proper,5,NNPS,2,ways of creating jobs and pumping money into Iraqi households,0,/,0.000117,ways,indef,Plur,3,loc,18,NNS,full,17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
400,401,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,30,The Americans have to put away their free-market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households.,V,creating,create,VBG,Ger,Tenseless,Simple,Act,3,4.90E-05,/,/,/,/,ways,/,/,ways,0.000117,indef,Plur,3,loc,full,1,NNS,17,jobs,0,/,8.71E-05,jobs,indef,Plur,3,human,1,NNS,full,20,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
401,402,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,30,The Americans have to put away their free-market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households.,V,pumping,pump,VBG,Ger,Tenseless,Simple,Act,2,6.03E-06,/,/,/,/,ways,/,/,ways,0.000117,indef,Plur,3,loc,full,1,NNS,17,money,0,/,0.000398,money,indef,Sing,3,nonconc,2,NN,full,23,into Iraqi households,into,households,1.48E-05,indef,Plur,3,org,7,NNS,full,26,/,/,,,,,,,,,,,,,,,,,
402,403,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,31,"We need an FDR in Iraq, not a Ronald Reagan.",V,need,need,VBP,Fin,Pres,Simple,Act,1,0.000912,/,/,/,/,We,/,/,We,0.00316,def,Plur,1,human,pron,1,PRP,1,"an FDR , not a Ronald Reagan",0,/,1.29e-06;;7.41e-06,FDR;;Ronald,indef;;indef,Plur,3,/;;/,7,NNP;;NNP,proper;;proper,4;;10,in Iraq,in,Iraq,3.47E-05,def,Sing,3,/,3,NNP,proper,6,/,/,,,,,,,,,,,,,,,,,
403,404,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,32,"Of course, the sooner the US soldiers can be withdrawn in favor of less-provocative local or international forces, the better.",V,withdrawn,withdraw,VBN,Part,Tenseless,Simple,Pass,2,9.12E-06,/,can,be,be,the US soldiers,/,/,soldiers,5.75E-05,def,Plur,3,human,full,4.5,NNS,8,/,0,/,/,/,/,/,/,/,/,/,/,/,in favor of less - provocative local or international forces,in,favor,3.89E-05,indef,Sing,3,conc,19,NN,full,13,/,/,,,,,,,,,,,,,,,,,
404,405,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,33,Getting the Spanish out of Iraq isn't nearly as good a rallying cry for al-Qaeda in the Arab world as getting the Americans and British out.,V,Getting,get,VBG,Ger,Tenseless,Simple,Act,2,0.000331,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,the Spanish,0,/,6.61E-05,Spanish,def,/,3,nonconc,3,JJ,NMN!,3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,unknown,indef,/,3,/,,,,,,,,,,,,
405,406,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,33,Getting the Spanish out of Iraq isn't nearly as good a rallying cry for al-Qaeda in the Arab world as getting the Americans and British out.,N,cry,cry,NN,/,Tenseless,Simple,Act,1,3.98E-05,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
406,407,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,33,Getting the Spanish out of Iraq isn't nearly as good a rallying cry for al-Qaeda in the Arab world as getting the Americans and British out.,V,getting,get,VBG,Ger,Tenseless,Simple,Act,2,0.000331,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,the Americans and British,0,/,5.37e-05;;0.000166,Americans;;British,def;;indef,Plur,3,/;;nonconc,8,NNPS;;JJ,proper;;NMN!,26;;28,/,/,/,/,/,/,/,/,/,/,/,/,/,/,unknown,indef,/,3,/,,,,,,,,,,,,
407,408,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,34,"The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al-Qaeda infiltrators, and it would be dangerous to take one's eyes off the former ball.",V,keep,keep,VB,Inf,Tenseless,Simple,Act,1,0.000417,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,in mind,in,mind,0.000275,indef,Sing,3,human,2,NN,full,6,/,/,,,,,,,,,,,,,,,,,
408,409,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,34,"The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al-Qaeda infiltrators, and it would be dangerous to take one's eyes off the former ball.",V,is,be,VBZ,Fin,Pres,Simple,Act,1,0.0115,/,/,/,/,The thing to keep in mind,/,/,thing,0.00049,def,Sing,3,conc,full,6,NN,2,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
409,410,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,34,"The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al-Qaeda infiltrators, and it would be dangerous to take one's eyes off the former ball.",A,likely,likely,JJ,/,Tenseless,Simple,Act,2,0.000155,/,/,/,/,Sunni Arab nationalists and Baathists and local Sunni radicals,/,/,nationalists;;Baathists;;radicals,3.24e-06;;4.07e-08;;3.02e-06,indef;;indef;;indef,Plur,3,human;;/;;human,full;;proper;;full,19,NNS;;NNPS;;NNS,11;;13;;17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
410,411,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,34,"The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al-Qaeda infiltrators, and it would be dangerous to take one's eyes off the former ball.",V,remain,remain,VB,Inf,Tenseless,Simple,Act,2,7.94E-05,/,/,/,/,Sunni Arab nationalists and Baathists and local Sunni radicals,/,/,nationalists;;Baathists;;radicals,3.24e-06;;4.07e-08;;3.02e-06,indef;;indef;;indef,Plur,3,human;;/;;human,full;;proper;;full,19,NNS;;NNPS;;NNS,11;;13;;17,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
411,412,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,34,"The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al-Qaeda infiltrators, and it would be dangerous to take one's eyes off the former ball.",A,dangerous,dangerous,JJ,/,Tenseless,Simple,Act,3,5.89E-05,/,/,would,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
412,413,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700,34,"The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al-Qaeda infiltrators, and it would be dangerous to take one's eyes off the former ball.",V,take,take,VB,Inf,Tenseless,Simple,Act,1,0.000813,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,one 's eyes,0,/,0.000166,eyes,indef,Plur,3,loc,3,NNS,full,45,off the former ball,off,ball,0.000107,def,Sing,3,conc,5,NN,full,49,/,/,unknown,indef,/,3,/,,,,,,,,,,,,
413,414,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175,0,George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president.,V,alleged,allege,VBD,Fin,Past,Simple,Act,2,2.00E-05,/,/,/,/,George W. Bush,/,/,George,0.0001,def,Sing,3,/,proper,5,NNP,1,/,0,/,/,/,/,/,/,/,/,/,/,/,Thursday,/,Thursday,3.98E-05,def,Sing,3,/,2,NNP,proper,5,/,/,,,,,,,,,,,,,,,,,
414,415,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175,0,George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president.,V,lacks,lack,VBZ,Fin,Pres,Simple,Act,1,8.13E-06,/,/,/,/,John Edwards,/,/,John,0.000224,def,Sing,3,/,proper,3,NNP,7,the experience necessary to be president,0,/,0.000195,experience,def,Sing,3,nonconc,14,NN,full,11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
415,416,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175,0,George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president.,N,president,president,NNP,/,Tenseless,Simple,Act,3,0.000251,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
416,417,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175,1,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so this sort of cheap shot just hoists him by his own petard.",V,is,be,VBZ,Fin,Pres,Simple,Act,1,0.0115,/,/,/,/,The problem with this argument,/,/,problem,0.000257,def,Sing,3,nonconc,full,8,NN,2,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
417,418,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175,1,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so this sort of cheap shot just hoists him by his own petard.",V,lacked,lack,VBD,Fin,Past,Simple,Act,1,7.41E-06,/,/,/,/,Bush,/,/,Bush,3.47E-05,def,Sing,3,/,proper,1,NNP,8,the experience necessary to be president,0,/,0.000195,experience,def,Sing,3,nonconc,14,NN,full,11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
418,419,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175,1,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so this sort of cheap shot just hoists him by his own petard.",N,president,president,NNP,/,Tenseless,Simple,Act,3,0.000251,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
419,420,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175,1,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so this sort of cheap shot just hoists him by his own petard.",V,ran,run,VBD,Fin,Past,Simple,Act,1,7.59E-05,/,/,/,/,he,/,/,he,0.0049,def,Sing,3,human,pron,1,PRP,17,/,0,/,/,/,/,/,/,/,/,/,/,/,in 2000,in,2000,0.00407,indef,Plur,3,/,1,CD,num,20,/,/,,,,,,,,,,,,,,,,,
420,421,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175,1,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000, so this sort of cheap shot just hoists him by his own petard.",V,hoists,hoist,VBZ,Fin,Pres,Simple,Act,1,2.19E-07,/,/,/,/,this sort of cheap shot,/,/,sort,9.55E-05,def,Sing,3,human,full,5,NN,24,him,0,/,0.00126,him,def,Sing,3,human,1,PRP,pron,30,by his own petard,by,petard,9.12E-08,indef,Sing,3,conc,5,NN,full,34,/,/,,,,,,,,,,,,,,,,,
421,422,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175,2,Let's just remember a seminal Bush moment in 1999:,V,Let,let,VB,Fin,Tenseless,Simple,Act,1,0.000389,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,'s,0,/,0.000513,'s,def,Plur,1,/,1,PRP,pron,2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,unknown,indef,/,3,/,,,,,,,,,,,,
422,423,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175,2,Let's just remember a seminal Bush moment in 1999:,V,remember,remember,VB,Inf,Tenseless,Simple,Act,3,0.000229,/,/,/,/,'s,/,/,'s,0.000513,def,Plur,1,/,pron,1,PRP,2,a seminal Bush moment in 1999,0,/,3.47E-05,Bush,indef,Sing,3,/,8,NNP,proper,7,/,/,/,/,/,/,/,/,/,/,/,/,/,/,,,,,,,,,,,,,,,,,
