X1,Unnamed: 0,ClauseID,Doc,SentID,SentForm,ClauseForm,PredType,PredForm,PredLemma,PredMorph,VMorphForm,PredTense,PredAspect,Voice,PredSylCo,PredFreq,PredFin,Aux3,Aux2,Aux1,PassAux,OvertSubj,CovertSubj,SubjRef,SubjHead,SubjFreq,SubjDef,SubjNum,SubjPers,SubjAnim,SubjSynType,SubjSylCo,SubjMorph,SubjPosID,OvertObj,OvertIObj,CovertObj,ObjFreq,ObjHead,ObjDef,ObjNum,ObjPers,ObjAnim,ObjSylCo,ObjMorph,ObjSynType,ObjPosID,OvertObl,OblCase,OblHead,OblFreq,OblDef,OblNum,OblPers,OblAnim,OblSylCo,OblMorph,OblSynType,OblPosID,Obl2,Obl3,Obl2PosID,Obl3PosID,NonAlternable,SubjChain,ObjChain,OblChain,Obl2Chain,Obl3Chain,PrevVoice1,PrevVoice2,PrevVoice3,PrevVoice4,PrevVoice5,PrevVoice6,PrevVoice7,PrevVoice8,PrevVoice9,PrevVoice10,X81,X82,X83,X84,X85,X86,X87,X88,X89,AgentDesc,AgentDef,AgentNum,AgentPers,AgentAnim
121,121,122,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,8,"Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so don't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank doesn't bomb them, and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?",so do n't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank does n't bomb them,V,expect,expect,VB,Fin,Tenseless,Simple,Act,2,9.33e-5,Fin,/,/,do,/,/,/,/,/,/,/,/,/,/,/,/,/,/,scared civilians,0,/,1.41E-05,civilians,indef,Plur,3,human,4,NNS,full,23,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,TRUE,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,indef,/,2,human
122,122,123,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,8,"Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so don't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank doesn't bomb them, and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?",scared civilians to do anything except to hide inside and pray a helicopter or a tank does n't bomb them,V,do,do,VB,Inf,Tenseless,Simple,Act,1,0.00234,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,anything except to hide inside and pray a helicopter or a tank does n't bomb them,0,/,0.000347,anything,indef,Sing,3,/,24,NN,full,26,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,123,124,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,8,"Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so don't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank doesn't bomb them, and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?",except to hide inside and pray a helicopter or a tank does n't bomb them,V,hide,hide,VB,Inf,Tenseless,Simple,Act,1,3.31e-5,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,124,125,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,8,"Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so don't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank doesn't bomb them, and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?",and pray a helicopter or a tank does n't bomb them,V,pray,pray,VB,Inf,Tenseless,Simple,Act,1,2.88e-5,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,125,126,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,8,"Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so don't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank doesn't bomb them, and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?",a helicopter or a tank does n't bomb them,V,bomb,bomb,VB,Inf,Pres,Simple,Act,1,3.8e-5,Fin,/,/,does,/,a helicopter or a tank,/,/,helicopter;;tank,1.86e-05;;3.89e-05,indef;;indef,Plur,3,vehicle;;vehicle,full;;full,8,NN;;NN,34;;37,them,0,/,0.00155,them,def,Plur,3,/,1,PRP,pron,41,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,14,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,126,127,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,8,"Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so don't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank doesn't bomb them, and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?",", and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen",V,going,go,VBG,Part,Pres,Simple,Act,2,8.13e-4,Fin,/,/,are,/,American soldiers,/,/,soldiers,5.75E-05,indef,Plur,3,human,full,6,NNS,48,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,127,128,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,8,"Even the IP and ICDC have abandoned the neighbourhood, and those are trained and armed, so don't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank doesn't bomb them, and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen?",American soldiers to distinguish the brave and valiant civilians from the Fedayeen,V,distinguish,distinguish,VB,Inf,Tenseless,Simple,Act,3,9.55e-6,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,the brave and valiant civilians,0,/,1.41E-05,civilians,def,Plur,3,human,8,NNS,full,56,from the Fedayeen,from,Fedayeen,9.77E-08,def,Plur,3,org,5,NNS,full,59,/,/,/,/,NA,/,/,18,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,128,129,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,9,"Everyone is apprehensive, there is some talk that April 9th and 10th are going to be bloody days.","Everyone is apprehensive , there is some talk that April 9th and 10th are going to be bloody days .",A,apprehensive,apprehensive,JJ,/,Tenseless,Simple,Act,4,8.91e-7,Nonfin,/,/,/,/,Everyone,/,/,Everyone,0.000263,indef,Sing,3,/,full,3,NN,1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,129,130,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,9,"Everyone is apprehensive, there is some talk that April 9th and 10th are going to be bloody days.",there is some talk that April 9th and 10th are going to be bloody days,V,is,be,VBZ,Fin,Pres,Simple,Act,1,0.0115,Fin,/,/,/,/,some talk that April 9th and 10th are going to be bloody days,/,/,talk,0.000251,indef,Sing,3,nonconc,full,15,NN,8,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,130,131,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,9,"Everyone is apprehensive, there is some talk that April 9th and 10th are going to be bloody days.",that April 9th and 10th are going to be bloody days,V,going,go,VBG,Part,Pres,Simple,Act,2,8.13e-4,Fin,/,/,are,/,April 9th and 10th,/,/,April,0.000186,def,Sing,3,/,proper,3,NNP,10,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,131,132,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,9,"Everyone is apprehensive, there is some talk that April 9th and 10th are going to be bloody days.",April 9th and 10th to be bloody days,N,days,day,NNS,/,Tenseless,Simple,Act,1,3.98e-4,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,TRUE,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,132,133,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,10,"Most people haven't gone to work the last few days, although it seems that the rest of Baghdad is 'normal' (if you can define what normal is).","Most people have n't gone to work the last few days , although it seems that the rest of Baghdad is ' normal ' ( if you can define what normal is ) .",V,gone,go,VBN,Part,Pres,Perf,Act,1,1.48e-4,Fin,/,/,have,/,Most people,/,/,people,0.0017,indef,Plur,3,nonconc,full,3,NNS,2,/,0,/,/,/,/,/,/,/,/,/,/,/,to work,to,work,0.000891,indef,Sing,3,loc,2,NN,full,7,the last few days,/,11,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,133,134,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,10,"Most people haven't gone to work the last few days, although it seems that the rest of Baghdad is 'normal' (if you can define what normal is).",although it seems that the rest of Baghdad is ' normal ' ( if you can define what normal is ),V,seems,seem,VBZ,Fin,Pres,Simple,Act,1,1.62e-4,Fin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,134,135,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,10,"Most people haven't gone to work the last few days, although it seems that the rest of Baghdad is 'normal' (if you can define what normal is).",that the rest of Baghdad is ' normal ' ( if you can define what normal is ),A,normal,normal,JJ,/,Tenseless,Simple,Act,2,1.1e-4,Nonfin,/,/,/,/,the rest of Baghdad,/,/,rest,0.000166,def,Sing,3,conc,full,5,NN,18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,135,136,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,10,"Most people haven't gone to work the last few days, although it seems that the rest of Baghdad is 'normal' (if you can define what normal is).",( if you can define what normal is ),V,define,define,VB,Inf,Tenseless,Simple,Act,2,2.45e-5,Fin,/,/,can,/,you,/,/,you,0.00977,def,/,2,human,pron,1,PRP,27,what normal is,0,/,0.0024,what,indef,/,3,/,4,WP,wh,30,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,136,137,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,10,"Most people haven't gone to work the last few days, although it seems that the rest of Baghdad is 'normal' (if you can define what normal is).",normal is,V,is,be,VBZ,Fin,Pres,Simple,Act,1,0.0115,Fin,/,/,/,/,normal,/,/,normal,0.00011,indef,Sing,3,nonconc,full,2,NN,31,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,137,138,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,11,"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time"".","There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" .",V,are,be,VBP,Fin,Pres,Simple,Act,1,0.0055,Fin,/,/,/,/,"rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April",/,/,rumours,4.37E-06,indef,Plur,3,nonconc,full,46,NNS,3,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,138,139,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,11,"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time"".",to the one that took place last April,V,took,take,VBD,Fin,Past,Simple,Act,1,3.31e-4,Fin,/,/,/,/,that,/,/,that,0.0105,indef,/,3,/,wh,1,WDT,24,place,0,/,0.00055,place,indef,Sing,3,loc,1,NN,full,26,last April,/,April,0.000186,def,Sing,3,/,3,NNP,proper,28,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,139,140,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,11,"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time"".",", and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time """,V,overheard,overhear,VBN,Part,Pres,Perf,Act,3,2.57e-6,Fin,/,/,have,/,I,/,/,I,0.0129,def,Sing,1,human,pron,1,PRP,31,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,2,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,140,141,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,11,"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time"".","youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time """,V,joking,joke,VBG,Ger,Tenseless,Prog,Act,2,1.02e-5,Nonfin,/,/,/,/,youngsters in my neighbourhood,/,/,youngsters,3.55E-06,indef,Plur,3,human,full,7,NNS,35,/,0,/,/,/,/,/,/,/,/,/,/,/,about it,about,it,0.00912,def,Sing,3,nonconc,3,PRP,pron,41,/,/,/,/,NA,/,/,17,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,141,142,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,11,"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time"".","youngsters in my neighbourhood and saying things like "" This time we will be the first to loot , we did n't get anything the last time """,V,saying,say,VBG,Ger,Tenseless,Prog,Act,2,2.24e-4,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,"things like "" This time we will be the first to loot , we did n't get anything the last time """,0,/,0.000513,things,indef,Plur,3,conc,23,NNS,full,44,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,142,143,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,11,"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time"".","like "" This time we will be the first to loot , we did n't get anything the last time """,A,first,first,JJ,/,Fut,Simple,Act,1,0.00135,Fin,/,/,will,/,we,/,/,we,0.00316,def,Plur,1,human,pron,1,PRP,49,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,1,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,143,144,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,11,"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time"".",to loot,V,loot,loot,VB,Inf,Tenseless,Simple,Act,1,2.34e-6,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,144,145,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,11,"There are rumours about preparations by slum dwellers for another looting spree against banks, governmental and public property similar to the one that took place last April, and I have already overheard youngsters in my neighbourhood joking about it and saying things like ""This time we will be the first to loot, we didn't get anything the last time"".",we did n't get anything the last time,V,get,get,VB,Inf,Past,Simple,Act,1,0.00182,Fin,/,/,did,/,we,/,/,we,0.00316,def,Plur,1,human,pron,1,PRP,57,anything,0,/,0.000347,anything,indef,Sing,3,/,3,NN,full,61,the last time,/,time,0.00191,def,Sing,3,time,3,NN,full,64,/,/,/,/,NA,1,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,145,146,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,12,"Mosques are calling for donating blood, food, and medicine for Fallujah, and several convoys have already headed out for Fallujah, most of them returned later though.","Mosques are calling for donating blood , food , and medicine for Fallujah , and several convoys have already headed out for Fallujah , most of them returned later though .",V,calling,call,VBG,Part,Pres,Simple,Act,2,7.94e-5,Fin,/,/,are,/,Mosques,/,/,Mosques,2.57E-06,indef,Plur,3,conc,full,1,NNS,1,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,146,147,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,12,"Mosques are calling for donating blood, food, and medicine for Fallujah, and several convoys have already headed out for Fallujah, most of them returned later though.","for donating blood , food , and medicine for Fallujah",V,donating,donate,VBG,Ger,Tenseless,Prog,Act,3,3.24e-6,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,"blood , food , and medicine",0,/,0.000138;;0.000263;;5.01e-05,blood;;food;;medicine,indef;;indef;;indef,Plur,3,human;;conc;;conc,6,NN;;NN;;NN,full;;full;;full,6;;8;;11,for Fallujah,for,Fallujah,6.03E-07,def,Sing,3,/,4,NNP,proper,13,/,/,/,/,NA,/,/,9,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,indef,/,3,human
147,147,148,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,12,"Mosques are calling for donating blood, food, and medicine for Fallujah, and several convoys have already headed out for Fallujah, most of them returned later though.",", and several convoys have already headed out for Fallujah",V,headed,head,VBN,Part,Pres,Perf,Act,2,3.39e-5,Fin,/,/,have,/,several convoys,/,/,convoys,1.26E-06,indef,Plur,3,nonconc,full,4.5,NNS,17,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,12,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,148,149,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,12,"Mosques are calling for donating blood, food, and medicine for Fallujah, and several convoys have already headed out for Fallujah, most of them returned later though.",most of them returned later though,V,returned,return,VBD,Fin,Past,Simple,Act,2,7.08e-5,Fin,/,/,/,/,most of them,/,/,most,0.001,indef,/,3,/,NMA!,3,JJS,25,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,149,150,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,13,"What irritates me is this sudden false 'solidarity' between Sunni and Shi'ite clerics, we all know that they would be glad to get at each others throats when they have the chance, and Shia clerics were describing Fallujan insurgents as 'Ba'athists', 'Saddamites', 'Wahhabis', and 'terrorists' just a few days ago.",What irritates me,V,irritates,irritate,VBZ,Fin,Pres,Simple,Act,3,6.61e-7,Fin,/,/,/,/,What,/,/,What,0.0024,indef,/,3,/,wh,1,WP,1,me,0,/,0.00331,me,def,Sing,1,human,1,PRP,pron,3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,2,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,150,151,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,13,"What irritates me is this sudden false 'solidarity' between Sunni and Shi'ite clerics, we all know that they would be glad to get at each others throats when they have the chance, and Shia clerics were describing Fallujan insurgents as 'Ba'athists', 'Saddamites', 'Wahhabis', and 'terrorists' just a few days ago.","What irritates me is this sudden false ' solidarity ' between Sunni and Shi'ite clerics , we all know that they would be glad to get at each other s throats when they have the chance , and Shia clerics were describing Fallujan insurgents as ' Ba'athists ' , ' Saddamites ' , ' Wahhabis ' , and ' terrorists ' just a few days ago .",N,solidarity,solidarity,NN,/,Tenseless,Simple,Act,5,8.51e-6,Nonfin,/,/,/,/,What irritates me,/,/,irritates,6.61E-07,indef,Sing,3,/,NMA!,5,VBZ,2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,151,152,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,13,"What irritates me is this sudden false 'solidarity' between Sunni and Shi'ite clerics, we all know that they would be glad to get at each others throats when they have the chance, and Shia clerics were describing Fallujan insurgents as 'Ba'athists', 'Saddamites', 'Wahhabis', and 'terrorists' just a few days ago.","we all know that they would be glad to get at each other s throats when they have the chance , and Shia clerics were describing Fallujan insurgents as ' Ba'athists ' , ' Saddamites ' , ' Wahhabis ' , and ' terrorists ' just a few days ago",V,know,know,VBP,Fin,Pres,Simple,Act,1,0.00129,Fin,/,/,/,/,we all,/,/,we,0.00316,def,Plur,1,human,pron,2,PRP,17,/,0,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,152,153,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,13,"What irritates me is this sudden false 'solidarity' between Sunni and Shi'ite clerics, we all know that they would be glad to get at each others throats when they have the chance, and Shia clerics were describing Fallujan insurgents as 'Ba'athists', 'Saddamites', 'Wahhabis', and 'terrorists' just a few days ago.",that they would be glad to get at each other s throats when they have the chance,A,glad,glad,JJ,/,Tenseless,Simple,Act,1,7.76e-5,Fin,/,/,would,/,they,/,/,they,0.00324,def,Plur,3,/,pron,1,PRP,21,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,TRUE,12,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,153,154,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012,13,"What irritates me is this sudden false 'solidarity' between Sunni and Shi'ite clerics, we all know that they would be glad to get at each others throats when they have the chance, and Shia clerics were describing Fallujan insurgents as 'Ba'athists', 'Saddamites', 'Wahhabis', and 'terrorists' just a few days ago.",to get at each other s throats when they have the chance,V,get,get,VB,Inf,Tenseless,Simple,Act,1,0.00182,Nonfin,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,0,/,/,/,/,/,/,/,/,/,/,/,at each other s throats,at,throats,2.09E-06,indef,Plur,3,conc,6,NNS,full,31,/,/,/,/,NA,/,/,/,/,/,Act,Act,Act,Act,Act,Act,Act,Act,Act,Act,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
